filename,d(vresi),t(vresi),d(vmesi),t(vmesi),d(vreis),t(vreis),d(vmeis),t(vmeis),d(presi),t(presi),d(pmesi),t(pmesi),d(preis),t(preis),d(pmeis),t(pmeis)
wt_100_098.txt,0.00,180.09,0.00,166.71,0.01,120.68,0.03,99.93,0.02,578.89,0.15,479.58,0.00,250.11,0.09,457.13
wt_100_099.txt,0.01,175.99,0.11,130.89,0.08,94.18,0.01,112.62,0.01,568.99,0.01,505.56,0.01,175.92,0.01,339.85
wt_100_100.txt,0.10,213.60,0.24,159.88,0.27,89.65,0.23,128.14,0.02,516.32,0.21,528.47,0.03,229.88,0.41,407.66
wt_100_101.txt,(0),49.55,(0),5.14,(0),33.96,(0),5.08,(0),66.14,(0),4.94,(0),59.16,(0),4.82
wt_100_102.txt,(0),40.19,(0),5.12,(0),36.66,(0),5.12,(0),57.43,(0),4.94,(0),52.13,(0),5.09
wt_100_103.txt,(0),53.54,(0),4.84,(0),34.27,(0),5.11,(0),79.22,(0),5.07,(0),57.06,(0),5.08
wt_100_104.txt,(0),63.07,(0),4.98,(0),46.60,(0),5.13,(0),44.72,(0),5.11,(0),74.46,(0),5.09
wt_100_105.txt,(0),41.27,(0),5.09,(0),23.14,(0),4.87,(0),52.47,(0),5.10,(0),39.28,(0),5.13
wt_100_106.txt,(0),79.32,(0),5.07,(0),61.80,(0),5.06,(0),122.84,(0),4.95,(0),121.78,(0),5.16
wt_100_107.txt,4.78,236.93,1.01,9.72,62.62,158.97,1.01,9.77,52.47,313.72,1.01,18.25,131.27,237.61,1.01,18.85
wt_100_108.txt,(0),117.06,(0),5.07,(0),128.56,(0),5.08,(0),207.77,(0),4.87,(0),176.02,(0),4.96
wt_100_109.txt,191.38,200.05,0.00,5.21,184.48,168.21,0.00,4.87,44.83,259.50,0.00,4.86,322.84,217.35,0.00,4.88
wt_100_110.txt,(98),176.65,(0),5.13,(92),132.43,(0),5.11,(1591),246.14,(0),5.11,(72),207.96,(0),5.20
wt_100_111.txt,1.07,275.11,1.53,148.50,0.79,176.10,1.89,172.19,0.76,541.06,3.60,376.10,0.67,432.96,2.42,331.17
wt_100_112.txt,0.85,228.25,0.31,205.11,1.71,143.58,0.78,148.29,0.37,583.87,1.14,321.80,0.57,361.42,0.72,368.80
wt_100_113.txt,2.97,236.17,2.27,186.76,1.32,196.24,1.20,175.77,1.42,534.90,2.35,421.07,1.04,381.32,1.76,354.50
wt_100_114.txt,0.53,270.88,0.46,196.39,0.20,197.75,0.52,178.15,0.56,611.10,0.68,335.42,0.19,313.88,0.48,350.41
wt_100_115.txt,0.87,264.32,1.32,173.26,1.21,190.09,1.71,149.81,1.33,604.39,1.74,316.24,1.63,387.70,1.23,354.97
wt_100_116.txt,0.00,194.62,0.28,150.47,0.17,138.09,0.39,125.08,0.06,641.93,0.23,453.16,0.07,385.06,0.24,405.82
wt_100_117.txt,0.13,195.86,0.26,160.23,0.33,129.88,0.35,126.96,0.20,596.00,0.48,419.06,0.11,316.39,0.32,422.96
wt_100_118.txt,0.20,239.63,1.04,189.01,0.26,157.17,0.99,169.15,0.38,563.99,1.39,521.08,0.29,369.77,1.39,407.05
wt_100_119.txt,0.31,237.55,0.93,185.31,0.26,172.18,0.68,150.66,0.41,663.83,1.77,545.60,0.23,382.55,1.80,488.30
wt_100_120.txt,0.12,267.44,0.35,153.69,0.22,159.16,0.53,158.34,0.06,594.98,0.86,426.68,0.05,426.45,0.50,463.93
wt_100_121.txt,0.25,202.83,0.13,141.24,0.02,122.90,0.39,131.80,0.08,666.05,0.42,406.78,0.09,390.94,0.46,395.53
wt_100_122.txt,0.20,210.50,0.08,142.27,0.01,99.72,0.17,104.50,0.02,588.08,0.01,554.22,0.00,267.57,0.10,365.52
wt_100_123.txt,0.03,183.81,0.32,139.48,0.15,115.95,0.36,112.79,0.04,521.06,0.16,591.10,0.05,234.07,0.14,410.69
wt_100_124.txt,0.04,206.63,0.35,161.64,0.06,120.24,0.34,168.14,0.05,569.70,0.79,507.10,0.03,451.44,0.60,465.73
wt_100_125.txt,0.15,195.52,0.20,160.28,0.15,127.48,0.20,137.53,0.08,631.58,0.10,535.44,0.27,332.89,0.12,488.93
